19:11:19:670 [ALWAYS]	GUDE Logging Started
19:11:19:671 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:11:19:671 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:11:19:671 [ERROR]	Initialize resume cache pointer failure
19:11:19:671 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:11:19:671 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:11:23:104 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:11:23:104 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:11:23:104 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:11:23:104 [ERROR]	Initialize resume cache pointer failure
19:11:23:105 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:11:23:105 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
